id,code,name,tagline,description,prices,storage_mb,max_users,max_clients,max_animals,features,limits,is_highlighted,is_active,display_order,created_at,updated_at
e45a417e-bead-4059-98ed-46dc4c1c33fa,free,Découverte,Pour tester gratuitement,Idéal pour démarrer et tester la plateforme,"{""yearly"": {""EUR"": 0, ""MAD"": 0, ""USD"": 0}, ""monthly"": {""EUR"": 0, ""MAD"": 0, ""USD"": 0}}",200,1,10,10,"[""10 clients max"", ""10 animaux max"", ""1 utilisateur"", ""Consultations & antiparasites"", ""1 seule ferme"", ""200 Mo stockage photos"", ""Ordonnances basiques (avec filigrane)""]",{},f,t,1,2026-06-05 15:53:15.332019+00,2026-06-05 19:39:10.881512+00
591a93bd-e0f3-475e-b645-402f55edf207,pro,Pro,Pour le vétérinaire indépendant,Pour un cabinet géré par un seul vétérinaire,"{""yearly"": {""EUR"": 240, ""MAD"": 2400, ""USD"": 260}, ""monthly"": {""EUR"": 25, ""MAD"": 250, ""USD"": 27}}",2048,1,,,"[""Clients & animaux illimités"", ""1 utilisateur"", ""Consultations, vaccinations, antiparasites"", ""Stock & ordonnances PDF personnalisées"", ""2 Go stockage photos"", ""Rappels vaccinations par email"", ""Support par email""]",{},t,t,2,2026-06-05 15:53:15.332019+00,2026-06-05 19:39:10.881512+00
47d49232-c2ee-4ba9-9707-54bc41a140fa,pro_plus,Pro Plus,Vétérinaire + gestion de ferme & compta,,"{""yearly"": {""EUR"": 288, ""MAD"": 2880, ""USD"": 310}, ""monthly"": {""EUR"": 30, ""MAD"": 300, ""USD"": 32}}",3072,1,,,"[""Tout du pack Pro"", ""Gestion complète des fermes & élevages"", ""Comptabilité complète"", ""3 Go stockage photos"", ""Statistiques avancées"", ""Support par email""]",{},t,t,3,2026-06-05 19:39:10.881512+00,2026-06-05 19:39:10.881512+00
0a4563fa-b01d-4a19-a2d3-a9aae2715350,duo,Duo,Vétérinaire + assistant(e),Parfait pour un cabinet avec un(e) assistant(e),"{""yearly"": {""EUR"": 336, ""MAD"": 3360, ""USD"": 365}, ""monthly"": {""EUR"": 35, ""MAD"": 350, ""USD"": 38}}",5120,2,,,"[""Tout du pack Pro Plus"", ""2 utilisateurs (véto + assistant)"", ""5 Go stockage photos"", ""Sauvegardes hebdomadaires"", ""Support email prioritaire""]",{},t,t,4,2026-06-05 15:53:15.332019+00,2026-06-05 19:39:10.881512+00
c9779e2d-563e-4115-a583-4757b78ac9b6,clinic,Clinique,Pour les cliniques multi-praticiens,Conçu pour les cliniques avec plusieurs praticiens,"{""yearly"": {""EUR"": 960, ""MAD"": 9600, ""USD"": 1040}, ""monthly"": {""EUR"": 100, ""MAD"": 1000, ""USD"": 108}}",15360,6,,,"[""Tout du pack Duo"", ""6 utilisateurs inclus (extensible)"", ""Rôles & permissions granulaires"", ""15 Go stockage photos"", ""Rappels par email + SMS"", ""Exports comptables avancés"", ""Sauvegardes quotidiennes"", ""Support dédié""]",{},f,t,5,2026-06-05 15:53:15.332019+00,2026-06-05 19:39:10.881512+00
